GeoName,Year,Population,Per Capita Income
CT,2014,3614584,64484
CT,2015,3611891,66222
CT,2016,3607614,67551
CT,2017,3607550,69147
CT,2018,3611229,72159
CT,2019,3607133,74176
CT,2020,3579918,76826
CT,2021,3606607,82152
CT,2022,3617925,85411
CT,2023,3643023,90235
CT,2024,3675069,95067
ME,2014,1336617,41137
ME,2015,1335768,42939
ME,2016,1340292,44234
ME,2017,1344956,45905
ME,2018,1350606,47729
ME,2019,1357523,49983
ME,2020,1364571,54330
ME,2021,1378931,59384
ME,2022,1390922,61617
ME,2023,1399646,65447
ME,2024,1405012,68932
MA,2014,6820869,58129
MA,2015,6866661,61536
MA,2016,6909664,63476
MA,2017,6959114,66069
MA,2018,6994446,69191
MA,2019,7016781,72381
MA,2020,6994598,77493
MA,2021,7000474,84087
MA,2022,7022468,85441
MA,2023,7066568,89947
MA,2024,7136171,93607
NH,2014,1339344,51988
NH,2015,1343764,54161
NH,2016,1351178,55677
NH,2017,1359076,57878
NH,2018,1364941,60335
NH,2019,1371857,63946
NH,2020,1378756,67564
NH,2021,1387677,73982
NH,2022,1396678,75329
NH,2023,1402199,79267
NH,2024,1409032,83192
RI,2014,1073245,46630
RI,2015,1077555,48049
RI,2016,1082431,48515
RI,2017,1085105,50414
RI,2018,1091824,52132
RI,2019,1094580,55123
RI,2020,1096530,59275
RI,2021,1097246,63108
RI,2022,1099498,64466
RI,2023,1103429,67769
RI,2024,1112308,70622
VT,2014,633872,46894
VT,2015,635912,48117
VT,2016,636397,48827
VT,2017,639087,50009
VT,2018,640680,51691
VT,2019,641847,54278
VT,2020,642977,58156
VT,2021,647210,61113
VT,2022,648142,63777
VT,2023,648708,67918
VT,2024,648493,71287
