period,state,state_name,sectorid,sector,sales,sales_units,year,month,TMAX,TMIN,TAVG,HDD,CDD,population,per_capita_income
2024-12-01,CT,Connecticut,RES,residential,1270.87704,million kilowatt hours,2024,12,4.8342037890424985,-4.866134152585765,-0.0159651817716334,556.754761904762,0.0,3675069,95067
2024-11-01,CT,Connecticut,RES,residential,902.2263,million kilowatt hours,2024,11,13.83873015873016,2.137936507936508,7.988333333333333,301.95714285714286,1.6071428571428563,3675069,95067
2024-10-01,CT,Connecticut,RES,residential,828.57201,million kilowatt hours,2024,10,19.37590691597366,5.616234970072568,12.496070943023112,171.1261904761905,1.333333333333334,3675069,95067
2024-09-01,CT,Connecticut,RES,residential,885.14973,million kilowatt hours,2024,9,23.380782657104493,12.172961278823347,17.77687196796392,33.266666666666666,26.423809523809524,3675069,95067
2024-08-01,CT,Connecticut,RES,residential,1318.04942,million kilowatt hours,2024,8,26.605776867497298,16.16020765773454,21.38299226261592,7.088095238095238,109.9452380952381,3675069,95067
2024-07-01,CT,Connecticut,RES,residential,1504.28521,million kilowatt hours,2024,7,28.677593445980545,18.933691756272403,23.805642601126472,0.1404761904761906,179.8047619047619,3675069,95067
2024-06-01,CT,Connecticut,RES,residential,1169.81084,million kilowatt hours,2024,6,27.16619047619048,15.176984126984127,21.1715873015873,7.1071428571428585,102.2547619047619,3675069,95067
2024-05-01,CT,Connecticut,RES,residential,879.65058,million kilowatt hours,2024,5,21.523296992306207,10.831856325673533,16.17757665898987,76.93333333333332,21.473809523809525,3675069,95067
2024-04-01,CT,Connecticut,RES,residential,876.01541,million kilowatt hours,2024,4,14.762005772005772,3.65010101010101,9.206053391053391,261.4309523809524,0.5857142857142857,3675069,95067
2024-03-01,CT,Connecticut,RES,residential,981.32315,million kilowatt hours,2024,3,10.717863726135617,0.8022704995976885,5.758467010460098,370.6714285714286,0.0,3675069,95067
2024-02-01,CT,Connecticut,RES,residential,1051.80176,million kilowatt hours,2024,2,5.777141864703442,-4.162671195799275,0.8074405889676826,481.9119047619048,0.0,3675069,95067
2024-01-01,CT,Connecticut,RES,residential,1274.14156,million kilowatt hours,2024,1,3.5381639967815084,-3.881912808134006,-0.1718744056762489,542.7761904761904,0.0,3675069,95067
2023-12-01,CT,Connecticut,RES,residential,1159.97818,million kilowatt hours,2023,12,8.104024577572964,-0.4449547115843,3.821433691756273,437.50714285714287,0.0,3643023,90235
2023-11-01,CT,Connecticut,RES,residential,975.33679,million kilowatt hours,2023,11,10.018330596606456,-1.083207443897099,4.467561576354679,404.6690476190476,0.0,3643023,90235
2023-10-01,CT,Connecticut,RES,residential,837.08098,million kilowatt hours,2023,10,19.03933947772657,8.287450076804916,13.663394777265744,141.5047619047619,7.330952380952381,3643023,90235
2023-09-01,CT,Connecticut,RES,residential,1050.39968,million kilowatt hours,2023,9,23.76699390100868,13.79692274610994,18.78195832355931,48.20952380952381,71.3452380952381,3643023,90235
2023-08-01,CT,Connecticut,RES,residential,1255.3172,million kilowatt hours,2023,8,26.0176946165934,16.23007574553737,21.12534959478786,2.4500000000000006,99.07857142857144,3643023,90235
2023-07-01,CT,Connecticut,RES,residential,1520.91214,million kilowatt hours,2023,7,28.95766513056836,18.74917050691244,23.852242703533022,2.3071428571428574,182.65714285714287,3643023,90235
2023-06-01,CT,Connecticut,RES,residential,922.85242,million kilowatt hours,2023,6,24.24154742356713,13.328232074438972,18.793708460395653,30.547619047619047,54.18571428571429,3643023,90235
2023-05-01,CT,Connecticut,RES,residential,826.13519,million kilowatt hours,2023,5,20.885672916997724,6.952831029185869,13.921547950103289,130.1625,5.140000000000001,3643023,90235
2023-04-01,CT,Connecticut,RES,residential,839.8709,million kilowatt hours,2023,4,16.80639846743295,4.686453201970444,10.746425834701697,224.90238095238092,7.711904761904763,3643023,90235
