period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2024-12-01,CT,Connecticut,RES,residential,1270.87704,million kilowatt hours
2024-11-01,CT,Connecticut,RES,residential,902.2263,million kilowatt hours
2024-10-01,CT,Connecticut,RES,residential,828.57201,million kilowatt hours
2024-09-01,CT,Connecticut,RES,residential,885.14973,million kilowatt hours
2024-08-01,CT,Connecticut,RES,residential,1318.04942,million kilowatt hours
2024-07-01,CT,Connecticut,RES,residential,1504.28521,million kilowatt hours
2024-06-01,CT,Connecticut,RES,residential,1169.81084,million kilowatt hours
2024-05-01,CT,Connecticut,RES,residential,879.65058,million kilowatt hours
2024-04-01,CT,Connecticut,RES,residential,876.01541,million kilowatt hours
2024-03-01,CT,Connecticut,RES,residential,981.32315,million kilowatt hours
2024-02-01,CT,Connecticut,RES,residential,1051.80176,million kilowatt hours
2024-01-01,CT,Connecticut,RES,residential,1274.14156,million kilowatt hours
2023-12-01,CT,Connecticut,RES,residential,1159.97818,million kilowatt hours
2023-11-01,CT,Connecticut,RES,residential,975.33679,million kilowatt hours
2023-10-01,CT,Connecticut,RES,residential,837.08098,million kilowatt hours
2023-09-01,CT,Connecticut,RES,residential,1050.39968,million kilowatt hours
2023-08-01,CT,Connecticut,RES,residential,1255.3172,million kilowatt hours
2023-07-01,CT,Connecticut,RES,residential,1520.91214,million kilowatt hours
2023-06-01,CT,Connecticut,RES,residential,922.85242,million kilowatt hours
2023-05-01,CT,Connecticut,RES,residential,826.13519,million kilowatt hours
2023-04-01,CT,Connecticut,RES,residential,839.8709,million kilowatt hours
2023-03-01,CT,Connecticut,RES,residential,995.03488,million kilowatt hours
2023-02-01,CT,Connecticut,RES,residential,1001.29324,million kilowatt hours
2023-01-01,CT,Connecticut,RES,residential,1169.0874,million kilowatt hours
2022-12-01,CT,Connecticut,RES,residential,1221.00945,million kilowatt hours
2022-11-01,CT,Connecticut,RES,residential,923.12589,million kilowatt hours
2022-10-01,CT,Connecticut,RES,residential,837.55501,million kilowatt hours
2022-09-01,CT,Connecticut,RES,residential,952.80038,million kilowatt hours
2022-08-01,CT,Connecticut,RES,residential,1468.1504,million kilowatt hours
2022-07-01,CT,Connecticut,RES,residential,1470.26413,million kilowatt hours
2022-06-01,CT,Connecticut,RES,residential,1042.16104,million kilowatt hours
2022-05-01,CT,Connecticut,RES,residential,922.88105,million kilowatt hours
2022-04-01,CT,Connecticut,RES,residential,849.40744,million kilowatt hours
2022-03-01,CT,Connecticut,RES,residential,1021.63229,million kilowatt hours
2022-02-01,CT,Connecticut,RES,residential,1105.94668,million kilowatt hours
2022-01-01,CT,Connecticut,RES,residential,1375.75326,million kilowatt hours
2021-12-01,CT,Connecticut,RES,residential,1176.49193,million kilowatt hours
2021-11-01,CT,Connecticut,RES,residential,934.7493,million kilowatt hours
2021-10-01,CT,Connecticut,RES,residential,839.86501,million kilowatt hours
2021-09-01,CT,Connecticut,RES,residential,1137.78708,million kilowatt hours
2021-08-01,CT,Connecticut,RES,residential,1370.41005,million kilowatt hours
2021-07-01,CT,Connecticut,RES,residential,1268.73061,million kilowatt hours
2021-06-01,CT,Connecticut,RES,residential,1222.93723,million kilowatt hours
2021-05-01,CT,Connecticut,RES,residential,834.63948,million kilowatt hours
2021-04-01,CT,Connecticut,RES,residential,839.08515,million kilowatt hours
2021-03-01,CT,Connecticut,RES,residential,1044.90896,million kilowatt hours
2021-02-01,CT,Connecticut,RES,residential,1144.79686,million kilowatt hours
2021-01-01,CT,Connecticut,RES,residential,1277.72635,million kilowatt hours
2020-12-01,CT,Connecticut,RES,residential,1210.74159,million kilowatt hours
2020-11-01,CT,Connecticut,RES,residential,928.89518,million kilowatt hours
